YearMonth,AWND,DAPR,MDPR,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS
2006-01-01,5.08650406504065,0.0,0.0,77.08,0.0,,51.73716012084592,65.80233690360272,45.477495107632095,58.73579545454545
2006-02-01,4.305158371040724,0.0,0.0,93.06,0.0,,54.97402597402598,69.22043010752688,46.48223896663079,60.34185303514377
2006-03-01,5.24483870967742,13.0,2.9299999999999997,97.01,0.0,,46.77712609970674,60.08286038592509,42.11451247165533,51.81385281385281
2006-04-01,5.277083333333334,0.0,3.67,89.87,0.0,,52.878787878787875,66.36587872559096,48.13991769547325,60.86217008797654
2006-05-01,5.250282258064516,18.0,0.92,23.54,0.0,,63.6891495601173,75.20864661654136,55.9906015037594,67.36827195467423
2006-06-01,5.312784810126582,0.0,0.0,0.42000000000000004,0.0,,73.03333333333333,84.57932446264074,62.26509723643807,76.7005988023952
2006-07-01,5.28991935483871,0.0,0.0,1.9400000000000002,0.0,,79.37243401759531,90.67395437262357,67.72387344199424,82.16129032258064
2006-08-01,5.076129032258064,3.0,0.01,0.22,0.0,,73.04105571847508,85.86407766990291,62.148399612027156,75.95778364116094
2006-09-01,4.549874476987448,0.0,0.0,0.23,0.0,,71.76666666666667,84.4577685088634,60.479666319082376,76.04
2006-10-01,4.259112903225806,0.0,0.0,2.08,0.0,,61.74153846153846,75.8443540183113,54.48367346938775,66.9768115942029
2006-11-01,3.5574583333333334,0.0,0.37,3.98,0.0,,60.46060606060606,74.13361169102296,52.10438413361169,65.56506849315069
2006-12-01,4.181330645161291,4.0,1.15,21.65,0.0,,53.07272727272727,67.14404145077721,44.918219461697724,58.52336448598131
2007-01-01,4.7891463414634154,0.0,0.16,16.35,0.0,,49.31858407079646,63.50713606089439,42.840152235965746,56.41428571428571
2007-02-01,4.82436936936937,0.0,0.02,49.9,0.0,,51.896103896103895,66.25157894736842,45.87579617834395,58.393382352941174
2007-03-01,4.885714285714286,0.0,0.0,3.86,0.0,,58.60117302052786,72.87984496124031,49.92337536372454,64.51714285714286
2007-04-01,5.244135021097046,0.0,0.0,24.99,0.0,,57.54242424242424,70.66302186878728,49.90233545647558,63.06962025316456
2007-05-01,5.347782258064516,0.0,0.0,0.23,0.0,,62.9375,75.55081300813008,54.1413612565445,68.11258278145695
2007-06-01,4.8432352941176475,0.0,0.0,0.0,0.0,,69.7741935483871,80.71897435897436,58.004123711340206,72.17910447761194
2007-07-01,4.743346774193548,0.0,0.0,0.74,0.0,,75.77538461538461,86.09664694280079,63.86210317460318,76.95253164556962
2007-08-01,4.503918367346939,0.0,0.0,0.7899999999999999,0.0,,76.60703812316716,88.44265809217578,64.60752688172043,78.177304964539
2007-09-01,4.327333333333333,0.0,0.0,30.49,0.0,,68.82781456953643,82.14189189189189,59.6768018018018,73.8313725490196
2007-10-01,3.918785425101215,0.0,0.0,14.67,0.0,,63.84193548387097,78.23874345549739,55.569327731092436,69.70163934426229
2007-11-01,2.9909166666666667,0.0,0.0,21.96,0.0,,59.81504702194357,71.91233435270132,51.91242362525458,62.61184210526316
2007-12-01,4.153709677419355,0.0,0.39,68.83,0.0,,49.16167664670659,62.42691903259727,43.13564668769716,54.49454545454545
2008-01-01,4.886975806451613,0.0,1.3,299.6,0.0,,48.43636363636364,61.304655870445345,44.01219512195122,54.64779874213836
2008-02-01,4.052586206896552,0.0,0.0,70.86,0.0,,51.6833855799373,65.28706624605678,45.05882352941177,57.31468531468531
2008-03-01,4.580322580645162,0.0,0.0,2.5700000000000003,0.0,,56.78299120234604,71.23829344432882,48.68574401664932,64.08032128514056
2008-04-01,4.708991596638655,0.0,0.0,0.92,0.0,,59.587878787878786,74.40020366598777,50.56109979633401,65.39862542955326
2008-05-01,5.088145161290322,0.0,0.0,20.8,0.0,,61.070381231671554,73.84652981427175,53.5126953125,66.20967741935483
2008-06-01,4.855208333333334,0.0,0.0,0.03,0.0,,72.7969696969697,84.18763557483732,60.25488069414317,73.36641221374046
2008-07-01,4.813629032258064,0.0,0.0,1.08,0.0,,74.79472140762464,85.7982740021575,63.25269978401728,75.70612244897958
2008-08-01,4.5375203252032525,0.0,0.0,0.09,0.0,,75.18181818181819,86.47064777327935,63.86363636363637,76.5523465703971
2008-09-01,3.9851882845188284,0.0,0.0,1.0,0.0,,73.8036809815951,85.35555555555555,62.59427966101695,76.23076923076923
2008-10-01,3.7325203252032524,0.0,0.0,2.15,0.0,,69.2834890965732,83.12058212058211,58.18087318087318,74.3903345724907
2008-11-01,3.1870588235294117,6.0,0.2,83.78,0.0,,61.987692307692306,75.08879492600423,53.65433403805497,65.0
2008-12-01,3.3720564516129032,10.0,0.38,121.23,0.0,,49.54545454545455,62.22593718338399,43.394123606889565,55.04135338345865
2009-01-01,3.36008064516129,11.0,0.34,22.92,0.0,,56.80530973451327,69.87770562770562,48.61904761904762,60.543795620437955
2009-02-01,3.8765178571428573,28.0,15.51,217.33,0.0,,50.36038961038961,63.81768558951965,45.02950819672131,56.606617647058826
2009-03-01,4.361585365853658,17.0,0.08,19.03,0.0,,53.733137829912025,67.53861386138614,47.01285855588526,60.26599326599327
2009-04-01,5.047958333333333,6.0,0.04,2.44,0.0,,57.23364485981308,71.56556556556556,49.41123370110331,64.27044025157232
2009-05-01,5.090685483870968,33.0,0.0,0.25,0.0,,67.0,78.08608608608608,57.197989949748745,70.68561872909699
2009-06-01,4.873500000000001,9.0,0.17,4.53,0.0,,63.875757575757575,74.6987951807229,57.01203610832498,68.75657894736842
2009-07-01,4.788508064516129,13.0,0.0,0.29000000000000004,0.0,,77.01201201201201,86.77744209466263,63.73541247484909,77.59861591695501
2009-08-01,4.436935483870967,9.0,0.0,0.02,0.0,,74.34375,86.09877800407332,62.64460285132383,77.53448275862068
2009-09-01,3.829958158995816,19.0,0.0,0.01,0.0,,76.02222222222223,88.24662576687116,64.06388206388206,79.07755102040817
2009-10-01,4.199433198380567,30.0,0.14,66.07,0.0,,63.84587813620072,76.67711598746081,55.44050104384134,67.89349112426035
2009-11-01,3.1414166666666667,5.0,0.0,1.19,0.0,,60.701550387596896,73.46206115515288,50.77210884353742,63.827118644067795
2009-12-01,3.506204081632653,26.0,7.55,154.42,0.0,,51.27956989247312,63.18338727076591,45.418554476806904,55.94202898550725
2010-01-01,3.631612903225806,30.0,12.180000000000001,305.58,0.0,,53.378181818181815,66.36942675159236,47.217853347502654,59.303754266211605
2010-02-01,4.006073059360731,22.0,10.25,238.87,0.0,,51.035714285714285,64.7715976331361,46.2,58.944
2010-03-01,4.7914814814814815,26.0,1.75,28.57,0.0,,54.59498207885304,69.33449477351917,47.69141531322506,63.21621621621622
2010-04-01,5.686625,27.0,2.16,68.8,0.0,,53.67037037037037,67.655,47.86533665835412,63.50191570881226
2010-05-01,5.395483870967742,23.0,0.0,3.33,0.0,,59.34875444839858,72.16705607476635,51.41988304093567,65.44932432432432
2010-06-01,4.924666666666667,43.0,0.0,0.33,0.0,,66.96666666666667,77.73659673659674,57.229336437718274,70.31118881118881
2010-07-01,4.932701612903226,72.0,0.24000000000000002,0.21,0.0,,72.06451612903226,82.11416026344676,61.09978070175438,74.3972602739726
2010-08-01,4.512040816326531,44.0,0.0,0.04,0.0,,73.32544378698225,84.4220572640509,60.67762460233298,76.03041825095058
2010-09-01,3.914915254237288,9.0,0.0,0.54,0.0,,72.66666666666667,84.6495633187773,60.07306434023991,75.41960784313726
2010-10-01,3.8540725806451612,36.0,2.1100000000000003,90.06,0.0,,61.778461538461535,73.62363238512035,56.48087431693989,67.28163265306122
2010-11-01,4.106625,23.0,3.6,52.56,0.0,,55.657575757575756,69.24804469273742,48.50615901455767,62.572052401746724
2010-12-01,3.730443548387097,62.0,43.54,461.52,0.0,,52.64391691394659,63.891067538126364,46.908396946564885,57.324894514767934
2011-01-01,4.935161290322581,0.0,0.0,0.8099999999999999,0.0,,,68.74193548387096,49.61290322580645,
2011-02-01,6.567857142857143,0.0,0.0,1.47,0.0,,,63.32142857142857,47.285714285714285,
2011-03-01,7.338387096774194,0.0,0.0,4.04,0.0,,,64.45161290322581,51.41935483870968,
2011-04-01,8.180333333333333,0.0,0.0,0.0,0.0,,,68.1,55.43333333333333,
2011-05-01,8.82516129032258,0.0,0.0,0.53,0.0,,,68.6774193548387,56.16129032258065,
2011-06-01,7.6290000000000004,0.0,0.0,0.02,0.0,,,68.86666666666666,58.666666666666664,
2011-07-01,8.080645161290322,0.0,0.0,0.0,0.0,,,73.29032258064517,63.354838709677416,
2011-08-01,6.985161290322581,0.0,0.0,0.0,0.0,,,72.90322580645162,62.32258064516129,
2011-09-01,6.912000000000001,0.0,0.0,0.01,0.0,,,72.06666666666666,61.8,
2011-10-01,6.054516129032258,0.0,0.0,0.63,0.0,,,70.87096774193549,58.064516129032256,
2011-11-01,5.592333333333333,0.0,0.0,1.69,0.0,,,67.03333333333333,51.233333333333334,
2011-12-01,4.530645161290322,0.0,0.0,0.67,0.0,,,64.19354838709677,45.806451612903224,
2012-01-01,4.884516129032257,0.0,0.0,1.19,0.0,,,69.54838709677419,49.225806451612904,
2012-02-01,6.548965517241379,0.0,0.0,0.12,0.0,,,65.34482758620689,48.793103448275865,
2012-03-01,7.699032258064515,0.0,0.0,1.78,0.0,,,64.19354838709677,50.064516129032256,
2012-04-01,7.777,0.0,0.0,1.51,0.0,,,66.43333333333334,52.96666666666667,
2012-05-01,7.49741935483871,0.0,0.0,0.01,0.0,,,68.09677419354838,58.0,
2012-06-01,7.679666666666666,0.0,0.0,0.0,0.0,,,70.0,60.56666666666667,
2012-07-01,7.425483870967742,0.0,0.0,0.0,0.0,,,71.61290322580645,61.645161290322584,
