YearMonth,AWND,DAPR,MDPR,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,Crude_Oil_Price,Gasoline_Price,Domestic_Passengers,International_Passengers,Total_Traffic
2006-01-01,5.08650406504065,0.0,0.0,77.08,0.0,,51.73716012084592,65.80233690360272,45.477495107632095,58.73579545454545,65.49,2.389,3315937,1440222,4756159
2006-02-01,4.305158371040724,0.0,0.0,93.06,0.0,,54.97402597402598,69.22043010752688,46.48223896663079,60.34185303514377,61.63,2.521,3045963,1204192,4250155
2006-03-01,5.24483870967742,13.0,2.93,97.01,0.0,,46.77712609970674,60.08286038592509,42.11451247165533,51.81385281385281,62.69,2.617,3711057,1379237,5090294
2006-04-01,5.277083333333334,0.0,3.67,89.87,0.0,,52.87878787878788,66.36587872559096,48.13991769547325,60.86217008797654,69.44,2.902,3683040,1404834,5087874
2006-05-01,5.250282258064516,18.0,0.92,23.54,0.0,,63.6891495601173,75.20864661654136,55.9906015037594,67.36827195467423,70.84,3.365,3743141,1434267,5177408
2006-06-01,5.312784810126582,0.0,0.0,0.42,0.0,,73.03333333333333,84.57932446264074,62.26509723643807,76.7005988023952,70.95,3.25,3994798,1515225,5510023
2006-07-01,5.28991935483871,0.0,0.0,1.94,0.0,,79.37243401759531,90.67395437262356,67.72387344199424,82.16129032258064,74.41,3.257,4236581,1683142,5919723
2006-08-01,5.076129032258064,3.0,0.01,0.22,0.0,,73.04105571847508,85.86407766990291,62.14839961202716,75.95778364116094,73.04,3.202,4128492,1616751,5745243
2006-09-01,4.549874476987448,0.0,0.0,0.23,0.0,,71.76666666666667,84.4577685088634,60.479666319082376,76.04,63.8,2.909,3386421,1321562,4707983
2006-10-01,4.259112903225806,0.0,0.0,2.08,0.0,,61.74153846153846,75.8443540183113,54.48367346938775,66.9768115942029,58.89,2.542,3598030,1300391,4898421
2006-11-01,3.5574583333333334,0.0,0.37,3.98,0.0,,60.46060606060606,74.13361169102296,52.10438413361169,65.56506849315069,59.08,2.459,3598667,1226392,4825059
2006-12-01,4.181330645161291,4.0,1.15,21.65,0.0,,53.07272727272727,67.14404145077721,44.91821946169773,58.52336448598131,61.96,2.531,3687799,1384533,5072332
2007-01-01,4.789146341463416,0.0,0.16,16.35,0.0,,49.31858407079646,63.50713606089439,42.84015223596575,56.41428571428571,54.51,2.541,3405786,1400030,4805816
2007-02-01,4.82436936936937,0.0,0.02,49.9,0.0,,51.896103896103895,66.25157894736842,45.87579617834395,58.39338235294117,59.28,2.629,3132949,1172344,4305293
2007-03-01,4.885714285714286,0.0,0.0,3.86,0.0,,58.60117302052786,72.87984496124031,49.92337536372454,64.51714285714286,60.44,3.041,3831056,1410758,5241814
2007-04-01,5.244135021097046,0.0,0.0,24.99,0.0,,57.54242424242424,70.66302186878728,49.90233545647558,63.06962025316456,63.98,3.275,3770188,1402926,5173114
2007-05-01,5.347782258064516,0.0,0.0,0.23,0.0,,62.9375,75.55081300813008,54.1413612565445,68.11258278145695,63.46,3.425,3836418,1420511,5256929
2007-06-01,4.843235294117648,0.0,0.0,0.0,0.0,,69.7741935483871,80.71897435897436,58.004123711340206,72.17910447761194,67.49,3.249,4109298,1517165,5626463
2007-07-01,4.743346774193548,0.0,0.0,0.74,0.0,,75.77538461538461,86.09664694280079,63.86210317460318,76.95253164556962,74.12,3.083,4338862,1713987,6052849
2007-08-01,4.503918367346939,0.0,0.0,0.7899999999999999,0.0,,76.60703812316716,88.44265809217578,64.60752688172043,78.177304964539,72.36,2.853,4291709,1647839,5939548
2007-09-01,4.327333333333333,0.0,0.0,30.49,0.0,,68.82781456953643,82.14189189189189,59.6768018018018,73.8313725490196,79.92,2.855,3436534,1369408,4805942
2007-10-01,3.918785425101215,0.0,0.0,14.67,0.0,,63.84193548387097,78.23874345549739,55.56932773109244,69.70163934426229,85.8,3.045,3685955,1384087,5070042
2007-11-01,2.9909166666666667,0.0,0.0,21.96,0.0,,59.81504702194357,71.91233435270132,51.91242362525458,62.61184210526316,94.77,3.31,3635609,1337446,4973055
2007-12-01,4.153709677419355,0.0,0.39,68.83,0.0,,49.16167664670659,62.42691903259727,43.13564668769716,54.49454545454545,91.69,3.264,3716251,1471467,5187718
2008-01-01,4.886975806451613,0.0,1.3,299.6,0.0,,48.43636363636364,61.30465587044535,44.01219512195122,54.64779874213836,92.97,3.226,3346971,1463844,4810815
2008-02-01,4.052586206896552,0.0,0.0,70.86,0.0,,51.6833855799373,65.28706624605678,45.05882352941177,57.31468531468531,95.39,3.144,3217623,1233787,4451410
2008-03-01,4.580322580645162,0.0,0.0,2.5700000000000003,0.0,,56.78299120234604,71.23829344432882,48.68574401664932,64.08032128514056,105.45,3.549,3750590,1483089,5233679
2008-04-01,4.708991596638655,0.0,0.0,0.92,0.0,,59.58787878787879,74.40020366598777,50.56109979633401,65.39862542955326,112.58,3.793,3572612,1377223,4949835
2008-05-01,5.088145161290322,0.0,0.0,20.8,0.0,,61.070381231671554,73.84652981427175,53.5126953125,66.20967741935483,125.4,3.94,3807792,1440195,5247987
2008-06-01,4.855208333333334,0.0,0.0,0.03,0.0,,72.7969696969697,84.18763557483732,60.25488069414317,73.36641221374046,133.88,4.487,4034316,1505557,5539873
2008-07-01,4.813629032258064,0.0,0.0,1.08,0.0,,74.79472140762464,85.7982740021575,63.25269978401728,75.70612244897958,133.37,4.482,4186909,1604659,5791568
2008-08-01,4.5375203252032525,0.0,0.0,0.09,0.0,,75.18181818181819,86.47064777327935,63.86363636363637,76.5523465703971,116.67,4.078,4122921,1592364,5715285
2008-09-01,3.985188284518829,0.0,0.0,1.0,0.0,,73.8036809815951,85.35555555555555,62.59427966101695,76.23076923076923,104.11,3.758,3192616,1272428,4465044
2008-10-01,3.732520325203253,0.0,0.0,2.15,0.0,,69.2834890965732,83.12058212058211,58.18087318087318,74.3903345724907,76.61,3.385,3408667,1272631,4681298
